NAME	PVL Differentiated	Macrophage	GenMod4	T cells CD8+	T cells CD4+	Endothelial RGS5	B cells Memory	GenMod1	Myoepithelial	CAFs MSC iCAF-like	CAFs myCAF-like	Plasmablasts	B cells Naive	GenMod3	GenMod2	GenMod7	DCs	GenMod5	Endothelial ACKR1	Monocyte	Mature Luminal	GenMod6	Endothelial CXCL12	NK cells	PVL Immature	Luminal Progenitors	NKT cells	Endothelial Lymphatic LYVE1
RBM28	1	1	31.3003392489129	1	1	1	1	1	1	1	1	1	1	38.7890086958042	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RBM4	1	1	1	1	1	34.6944622868632	1	29.8071321386811	51.3038999063414	1	1	1	1	1	29.3732431646666	45.2199100889204	1	1	1	1	49.3168770873536	1	1	1	1	30.9530423776333	1	1
RBM47	1	121.746472287042	62.0098826805362	1	1	1	1	172.233660494393	1	1	1	1	1	37.2700945801501	69.9669315380977	116.374018029146	45.9906185355604	217.006621673629	1	103.25908358329	195.980666338041	91.9459944424087	1	1	1	59.9371499958183	1	1
RBM5	1	1	1	1	1	89.2089653874211	76.3236579297914	1	1	83.7969132835284	50.8412629796451	1	1	1	1	1	45.457224472917	1	54.3837791091305	1	42.2706868573109	1	41.1110187033395	1	99.2654066606255	1	1	1
RBM6	1	1	29.2590371445164	1	1	71.0574548777589	91.9090898330239	46.8934582095489	1	62.5525283585147	61.5431176433096	61.0660145513352	1	1	1	62.3068823292197	50.6010663250092	51.8436405621006	52.9816121795264	1	49.5994080182403	41.2412091902037	72.6846083981335	1	64.2796764873495	32.2411441695037	1	1
RBM7	62.84081848301	1	1	1	1	1	1	1	1	1	59.3535814988555	1	1	49.0174858137773	1	1	1	1	1	1	25.312610414661	31.4038241582774	1	1	1	1	1	89.8300415927535
RBMS2	1	1	1	1	1	86.0262219410932	1	1	1	1	1	1	1	1	1	1	1	1	71.6468102034956	1	1	1	1	1	1	1	1	1
RBMS3	72.9090111866009	1	1	1	1	112.783169128628	1	1	58.1323072226119	160.032543960102	98.14462483158	1	1	1	1	1	1	1	41.0782396549995	1	1	1	53.5982757780744	1	99.3801228283857	1	1	80.4504465625115
RBMXL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38.967052182549	1	1	1	1	1	1	1
RBP1	1	1	134.367482094372	1	1	1	1	1	129.093843868488	129.660564718999	102.114239673789	1	1	128.094214376519	122.115839135958	64.9129824401666	1	80.5620592479782	1	1	307.276226975453	49.9672018147202	1	1	92.4866817507391	73.407929460983	1	93.180060896975
