NAME	T cells CD8+	T cells CD4+	Endothelial ACKR1	B cells Memory	CAFs MSC iCAF-like	B cells Naive	NKT cells	GenMod1	GenMod3	GenMod6	Monocyte	CAFs myCAF-like	PVL Immature	GenMod7	Endothelial RGS5	GenMod2	Plasmablasts	GenMod5	Macrophage	GenMod4	Luminal Progenitors	Mature Luminal	Myoepithelial	PVL Differentiated	NK cells	DCs	Endothelial CXCL12	Endothelial Lymphatic LYVE1
SORBS3	1	1	101.770282297158	1	104.682818105413	1	1	1	77.2121028209699	1	1	116.041845331561	220.528781111844	1	96.7596136815835	1	1	1	51.1855306262138	52.6297004562398	50.9979351853969	84.8279767966035	108.202410122357	246.032098830517	1	1	130.464469028283	68.6037693989059
SORD	1	1	1	1	1	1	1	68.4405023236613	51.6706247820175	45.4174215675814	1	1	1	53.339887376298	1	65.727380249277	1	76.4966047408882	1	59.6871154590312	1	40.9907152873043	1	1	1	1	1	1
SORL1	1	1	1	1	1	1	126.383333571219	1	1	1	79.2160880772491	1	1	1	1	1	1	1	68.8959441507311	1	27.2041869684603	86.6063969323416	1	1	1	1	1	1
SORT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51.2892050312721	1	82.2504131608055	1	1	1	1
SOS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	63.2148800961706	1	1	1	1	1	1	1	1	1	1	1	141.616002614898	1
SOX10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36.3032869386197	1	1	1	1	1	1	1
SOX17	1	1	173.899454161847	1	1	1	1	1	1	1	1	1	1	1	220.143710857028	1	1	1	1	1	1	1	1	1	1	1	546.339020140106	1
SOX18	1	1	116.108586255541	1	1	1	1	1	1	1	1	1	1	1	284.870828293819	1	1	1	1	1	1	1	1	1	1	1	281.901416121012	1
SOX7	1	1	58.7910505888258	1	1	1	1	1	1	1	1	1	1	1	134.918008621718	1	1	1	1	1	1	1	1	1	1	1	79.9322857743968	95.1065920242852
SOX9	1	1	1	1	1	1	1	214.917754750288	111.999986554837	88.7290148935597	1	1	1	147.865961859413	1	31.0860356827613	1	73.4067504321906	1	72.99219019318	183.640513162772	71.2472461993084	121.35000728442	1	1	1	1	1
SP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.0650466677181	1	1	1	1	1	1
SP110	1	1	1	103.138282848467	1	142.129575572575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.5397449600909	1	1
SP140	131.030921966641	85.479208970261	1	188.24516178462	1	231.766298406693	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	111.328919401209	1	1	1
SP140L	1	1	1	1	1	119.985497562784	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.447670950472	96.0578327902359
SP3	1	1	1	1	1	1	84.3781027661217	1	26.2932929439525	25.4101566010002	1	1	49.0124580125629	33.068930906425	39.1278320632442	1	1	66.7530875254557	1	24.8674793168775	1	43.2159836991645	1	52.1076101069135	1	1	1	10.8421886902856
SPAG16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.0737817566577	1	35.6920363092104	1	1	40.5692424033879	32.8376784521581	69.9463613307648	1	1	1	1	545.442570349967
SPAG4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64.5918086924057	1	1	1	1	1	1	1	1	1	1	1
SPARC	1	1	1425.47569916982	1	1923.16463627604	1	1	1	549.575343639877	1	1	7803.1382477937	3679.74289062797	1	3460.17343280173	1	1	1	1	1	1	1	354.996264007463	1602.62576181879	1	1	1558.58270859668	350.366545804534
SPARCL1	1	1	4585.89078175315	1	1157.61237229497	1	1	1	1	1	1	1304.30607164791	2334.9878347908	1	3700.18799615942	1	1	1	1	1	63.8771754757093	55.887103466713	895.374362443903	4530.57460833322	1	1	2847.87679427331	545.442570349967
SPATA13	1	1	1	1	1	1	1	41.772969237932	1	1	1	1	1	1	1	1	1	51.1743190650807	1	1	29.5176002869015	44.3202705745984	1	1	1	1	1	1
SPATA20	1	1	1	1	1	1	1	30.4387014845513	1	1	1	1	1	1	1	1	1	1	1	1	1	39.4479415104849	53.4346168201587	1	1	1	1	1
SPATA33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49.8017128956568	1	1	1	1	1	1	1	1
SPATC1L	1	1	1	1	1	1	1	1	25.0720554322263	1	1	1	1	1	1	33.2208619675649	1	1	1	1	1	1	1	1	1	1	1	1
SPATS2	1	1	45.8462091716182	1	1	1	1	32.470743324317	43.2877421374379	27.5373018132228	1	47.992969609049	1	38.3367478360756	55.1084684814268	36.752478232718	110.730749915897	1	1	54.5136677207755	26.365810516325	36.3193954299113	83.1574904783606	1	1	41.0195995955866	1	1
SPATS2L	1	1	1	1	80.7433373137429	1	1	1	53.9872757072737	1	1	209.642744585966	117.370745780682	1	68.2936265522608	1	1	1	65.5641097700154	1	31.5283847469054	1	1	59.9428772112663	1	1	45.1919887409483	545.442570349967
SPC24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.3785511164597	1	1	1	1	1	1	1	1
SPC25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	45.6214831935423	1	1	1	1	1	1	1	1
SPCS3	87.6350235049188	86.0046058203917	113.710357381277	1	1	1	166.416099814644	46.0260845001184	87.5196082245979	71.5894845011981	161.30714387814	81.0702530233148	1	62.7335782416732	85.9770325365165	57.9054101347476	361.667220033904	39.8262269500364	130.270306942792	71.3007564801143	49.6914370872494	79.121298973774	1	70.5645222268198	112.150621207882	112.688604986102	105.910004106237	439.746954693215
SPDEF	1	1	1	1	1	1	1	323.049996708983	1	269.559815736123	1	1	1	284.647116019816	1	223.513043569889	1	277.121914404029	1	195.166644647261	40.7438114940878	406.068887135621	1	1	1	1	1	1
SPECC1	1	1	1	1	1	1	1	1	26.3823732914065	1	1	47.9469515339461	91.7352661183994	1	1	1	1	1	1	1	1	1	1	78.9297092278528	1	1	1	1
SPEN	1	1	1	1	1	1	1	1	1	1	1	57.6288859219955	1	30.6172848349721	39.5404387177932	1	1	1	1	28.8950254593008	40.0228493115099	37.0667191060154	1	71.8602949654407	1	43.7313909975865	55.1833329682361	1
SPG11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40.3819038558852	1	1	1	46.0592499273282	1	1	1	1	1	1
SPG20	1	1	55.3810537778552	1	100.510902589694	1	1	1	1	1	1	53.0785431000053	54.3658856552879	1	45.3987200148229	1	1	1	1	1	34.2291410374608	1	1	66.2937623921191	1	1	49.4641379676075	76.2320715187987
SPG7	1	1	45.0607533134657	1	1	1	1	1	35.6676929984263	1	1	1	1	42.4732376368502	60.8220740383022	25.3702694784941	1	1	31.1275144134391	22.2324972043891	50.7041041129671	46.6405361701232	85.3448106144305	1	1	1	66.8512293015857	1
SPHK1	1	1	128.362665488703	1	1	1	1	1	160.384370095268	1	46.0452867581958	240.533402209372	1	1	1	1	1	1	41.0500936836323	61.8573942156248	61.9771600958849	1	138.204541712136	1	1	1	1	188.235330606555
SPI1	1	1	1	116.453438928506	1	1	1	1	1	1	591.376629839938	1	1	1	1	1	1	1	578.163482942968	1	1	1	1	1	1	340.005332587747	1	1
SPIB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	134.178826371707	1	1
SPICE1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.0893100234292	1	1	1	1	1	1	1	1	1	1
SPIDR	1	1	1	1	1	1	1	1	1	30.1875065829706	1	1	1	1	1	1	1	1	1	1	1	36.0967833860919	1	1	1	1	1	1
SPINK8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	86.8494479974615	1	1	1	1	1	1	1	1	1	1
