NAME	Endothelial ACKR1	Endothelial RGS5	GenMod5	Endothelial CXCL12	NK cells	T cells CD4+	GenMod1	GenMod3	T cells CD8+	Macrophage	NKT cells	Plasmablasts	PVL Differentiated	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Monocyte	GenMod2	GenMod7	Myoepithelial	GenMod6	PVL Immature	Luminal Progenitors	B cells Memory	GenMod4	Mature Luminal	B cells Naive	Endothelial Lymphatic LYVE1
CAMK2G	1	54.664094846618	1	1	1	1	1	42.8713003799456	1	1	1	1	92.6446578149182	1	1	1	1	30.2176102121997	1	1	1	48.925625044568	1	1	42.0873785007001	1	1	95.4527896895996
CAMK2N1	1	1	40.2678841613652	1	1	1	57.8254087718305	1	1	1	1	1	1	1	1	1	1	1	49.5017605736861	1	41.1499642625188	222.164435824389	1	1	1	59.1923165462344	1	1
CAMK4	1	1	1	1	1	156.239515949589	1	1	144.94234191031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAMSAP2	36.6223987242573	41.6593448944574	1	1	1	1	1	32.7747918361868	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAMTA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54.7319277093873	1	1	1	1	1	1	1	1	1	1	1	1
CAND1	60.9695162680771	53.383482570561	74.9451671664981	1	1	1	60.9682813797409	32.8980600224024	1	1	1	1	62.6006584432628	1	38.5643923868809	52.042343888535	1	31.741052318212	70.3795262686199	66.9803487662563	48.0559012126396	1	45.6699821576978	57.2861458601005	1	62.2308795505139	1	1
CANT1	1	1	108.492513200345	1	1	1	70.1722324572942	44.090264429512	1	1	1	1	1	1	1	1	1	59.1396507160566	50.8930312271602	1	56.8383271797427	1	1	1	39.0555665653057	63.5616815783007	1	1
CAP2	1	1	48.9786733749346	1	1	1	1	1	1	1	1	1	83.3861221852149	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAPG	1	1	85.7055070195244	1	308.623012956316	1	109.709436279146	143.394856256485	171.480196532659	809.228881700231	1	1	1	1	304.743489352821	89.4552996849602	486.340985843092	110.477077822133	90.3204495651933	90.9362720290546	160.058709324395	1	121.788846093265	184.447283894128	165.031223817383	291.379560938136	1	1
CAPN12	1	1	1	1	74.818918573057	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CAPN7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	56.6654737300694	1	1	1	1	1	43.0768202884648	1	1
CAPN8	1	1	102.628312022096	1	1	1	108.719934012708	57.1392789280155	1	1	1	1	1	1	1	1	1	1	70.2040322510006	1	83.2518118259909	1	1	1	1	53.452258874084	1	1
CARD10	1	114.145837199116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CARD16	96.7367573267634	97.0024581609431	1	151.848380663625	136.748082907294	245.032745681875	1	41.061659345773	167.859884215694	219.034843649358	207.376147921977	1	1	1	73.0422033753525	1	241.395505495752	1	1	1	1	1	1	1	1	1	1	1
CARD19	69.8548961628518	31.7701517919758	69.9619451767718	62.4887989523843	97.6318932717857	1	59.9985812299332	85.6829719582941	1	48.9580863548119	1	1	68.7175343913322	1	1	1	67.8883252780718	48.7438514142364	47.3355705231408	61.0059446638732	59.0438720071958	1	37.6798060938631	1	46.9645991564495	68.7152902055967	1	1
CARD8	74.106741062948	117.28433405803	1	61.0398179639964	1	1	1	1	1	43.3187049445187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	68.6748720607023
CARMN	1	1	1	1	1	1	1	1	1	1	1	1	153.249177107191	1	1	1	1	1	1	141.329726759437	1	160.178465295549	1	1	1	1	1	1
CARS2	1	1	1	1	1	1	1	25.2693133606397	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASC15	1	1	1	1	1	1	1	66.9232364526518	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASC3	1	29.9150330293058	1	74.9253829731939	1	1	1	1	1	1	1	1	1	1	1	1	1	52.9821625423184	111.143087697511	1	105.204308829129	1	24.1016392819709	1	1	42.3133443874669	1	1
CASC4	1	39.3470724152892	50.2321051308811	1	1	1	31.5891701192339	42.9406191536232	1	40.0164348455027	1	1	1	88.9766363893499	1	105.491724923358	1	1	1	1	37.2893917704877	66.3684530151754	35.3715653108637	1	1	73.5957447693527	1	1
CASC5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.9010005917154	1	1	1
CASD1	1	1	48.5694699221608	1	1	1	28.8471841244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASKIN2	65.9989350927247	80.6016185353537	1	82.3325636581127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	95.4527896895996
CASP1	50.2616103112824	1	1	47.4050037668232	1	85.7754758296055	1	27.0912691733201	84.7451435170834	120.542748241569	116.592616610111	1	1	1	53.1524986628852	1	136.465780437802	1	1	1	1	1	1	1	1	1	1	1
CASP3	1	1	1	1	129.167905347479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CASP4	115.597854626443	86.3725199127195	1	133.610825554879	180.924206356373	132.705161083025	1	63.1911798073215	158.576436796478	118.826617140121	209.840043967993	56.9764394793294	1	92.8406474224683	93.5147752210862	82.9806635588709	128.317320589586	30.8627559957018	1	1	36.9776580255347	57.5564956395497	46.0518962764504	114.123377031934	1	1	159.117402544979	96.6056932680741
