NAME	Macrophage	T cells CD4+	Mature Luminal	PVL Differentiated	GenMod1	GenMod6	Endothelial CXCL12	Endothelial ACKR1	GenMod4	Plasmablasts	CAFs MSC iCAF-like	NK cells	Monocyte	CAFs myCAF-like	T cells CD8+	Luminal Progenitors	GenMod2	GenMod3	B cells Memory	GenMod5	DCs	NKT cells	B cells Naive	GenMod7	Myoepithelial	PVL Immature	Endothelial RGS5	Endothelial Lymphatic LYVE1
TGIF1	118.545448179484	195.311008879539	110.298146514375	1	202.745160677224	102.128404097375	1	51.6724849321112	111.808285737334	1	66.0458742556572	124.157360536578	135.967308488992	52.1947309164347	162.494547303659	107.926925665757	88.2601597555108	96.5631331199403	195.120852445194	87.7763749840055	106.418704173153	127.797562565311	259.991088078187	110.839601692698	298.698087226978	1	44.0973330804587	1
TGM2	1	1	1	1	1	1	162.533837940827	218.923429503364	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	184.400540904429	227.801012782252
TGS1	1	1	42.5049274241439	1	1	22.2133406429356	1	47.2823358496827	40.9737822623424	1	1	1	1	1	1	1	28.7171854606476	43.3308081337854	1	1	1	1	125.397408302681	1	1	1	1	1
THAP2	64.4612991982602	1	1	1	1	1	1	1	1	1	1	1	129.790785939187	1	1	1	1	1	1	1	34.4135208786668	1	1	1	1	1	1	1
THAP7	1	1	47.5146758940671	1	44.4767452318355	37.6643546494403	1	1	40.0781104552875	1	72.4138097412044	1	1	44.8468572516497	1	1	39.9291651570014	31.995920625073	1	59.3331416560693	1	1	1	44.4609419664751	1	1	39.1793343534806	1
THAP9.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.4705730183227	1	1	1	1	1	1	1
THBD	157.399814578813	1	1	1	1	1	258.42465013678	324.904726014799	1	1	1	1	264.363286796502	1	1	1	1	1	1	1	141.351156044223	1	1	1	1	1	275.524469576741	379.546416762839
THBS1	98.8865344280886	1	67.2583302628976	260.030221965866	138.533006324384	71.9393100010653	71.6979681585986	81.9315962958041	1	1	176.257834087304	1	322.740303276544	379.711266112755	1	59.7932214147124	1	44.45935685829	1	72.4737123733684	1	1	1	99.6340254692903	274.979215493094	213.916223583196	85.1356330677806	1
THBS2	1	1	1	1	1	1	1	1	1	1	198.508400370698	1	1	628.58089319539	1	1	1	1	1	1	1	1	1	1	1	1	1	1
THBS4	1	1	1	1	1	1	1	1	1	1	1	1	1	148.379350868613	1	1	1	1	1	1	1	1	1	1	1	1	1	1
THEM4	1	96.3350595658235	32.9066405026724	1	41.1031352117397	33.2348471721946	1	1	36.8892419628607	1	1	1	1	1	1	1	1	1	1	52.1298174500839	1	1	1	57.0097563973121	1	1	1	1
THEMIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	107.011421372091	1	1	1	1	1	1	1	1	1	1	1	1	1
THEMIS2	128.900619535823	1	1	1	1	1	1	1	1	1	1	1	167.801567289076	1	1	1	1	1	86.6576916820813	1	165.082187004479	1	1	1	1	1	1	1
THNSL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22.7062826312381	1	1	31.3102868858777	1	1	1	1	1	1	1	1
THOC3	1	1	1	1	29.0834968001551	36.9511341646409	1	1	70.3519713605314	1	1	1	1	1	1	1	49.3543575478345	40.2397184581348	1	1	1	1	1	1	1	1	1	1
THOP1	1	1	1	1	1	1	1	1	50.0772725121671	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
THRA	1	1	1	52.5640216257032	1	1	1	1	1	1	1	1	1	1	1	32.2316816183639	1	1	1	1	1	1	1	1	44.0838741971089	1	28.280182581899	1
THRB	1	1	34.1897382096851	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	92.0057336876921	1	1	1
THSD1	1	1	1	1	1	1	37.4009063759447	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.8420042854011	1
THSD4	1	1	76.5198300001289	1	38.2275407460095	1	1	1	1	1	1	1	1	1	1	1	1	1	1	62.2842801327234	1	1	1	1	1	1	1	1
THSD7A	1	1	1	1	1	1	219.340929518142	99.0236344712227	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	123.50528050378	243.850053310107
THUMPD1	1	1	107.286206910422	1	59.3976226691934	46.8153788630582	65.7325305386999	51.5986186158936	41.1242557693439	1	1	1	1	56.6799190355257	1	42.1705757884773	38.0918322608623	38.1828791429869	1	56.7268536577581	1	102.846315285604	1	64.8661438724979	100.880076099272	1	71.9964807224941	152.177382391506
THUMPD2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.2301191450423	1	1	1	1	1	1	1	1	1	1
THUMPD3	1	1	1	1	1	21.8527883543815	1	1	43.6567538992543	1	1	1	1	1	1	1	46.1311458882246	31.4619282131119	1	65.2541399585467	1	1	1	36.8551887162451	1	1	1	49.312067542096
THY1	1	1	1	255.105268315528	1	1	1	1	1	1	420.491700840653	1	1	1057.1885921472	1	1	1	1	1	1	1	1	1	1	73.5274849354218	1289.40941209182	226.439706622682	1
TICAM1	1	1	51.9449395350497	1	45.7605729715655	1	1	1	1	1	1	1	1	1	1	38.350129795879	1	1	1	1	1	1	1	1	1	1	1	1
TIE1	1	1	1	1	1	1	274.43625230348	159.119642280072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	210.758527084817	210.922724856357
TIFA	1	1	1	1	49.7500740802464	56.3004992314402	77.734186066171	50.3478827859467	1	1	1	1	1	1	1	27.7862836682875	25.6139521471435	1	1	45.856113646641	1	1	1	1	1	1	1	1
TIGAR	37.7900147381329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TIGIT	1	277.780798685194	1	1	1	1	1	1	1	1	1	105.115874434523	1	1	275.813202838546	1	1	1	1	1	1	149.509672747117	1	1	1	1	1	1
TIMM10	53.2519077089538	1	81.5786024749922	1	71.132452884014	61.5789501452183	55.3073812257002	69.3765675804272	121.514942231542	1	1	1	57.6799642707168	36.2838731962052	1	67.171272843821	93.8728321653372	70.3151801576658	1	93.3168985053787	43.1202118617194	1	97.9476660604203	69.0571320267099	1	66.8626735867843	70.0141137270244	1
TIMM17B	41.0811601384799	1	79.8109727982174	57.6930693068978	97.1662091648712	113.427296041778	1	1	138.016674310665	75.4958103013827	1	1	83.4827840988356	36.9455702391128	1	65.0007070158717	145.244901633434	74.3963814515435	1	132.319388478688	53.1488175388631	1	1	107.580396581747	59.6951802384472	60.3085571185947	37.0577462675393	1
TIMM21	1	1	1	1	1	1	1	1	43.7784160789592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	61.364042656866
TIMM44	1	1	1	1	1	1	1	1	37.8071111835621	1	1	1	1	1	1	1	31.2841119566416	32.3397224905673	1	1	1	1	1	1	1	1	1	1
TIMM8A	1	1	1	1	1	1	1	1	40.9884752108883	1	1	1	1	1	1	1	23.4009486280744	36.2533262822549	1	1	1	1	1	1	1	1	1	1
TIMP1	344.82000625631	114.865132428102	284.811904595017	1900.49085210833	491.097883835679	889.34338635452	209.479964382039	567.409008484806	112.226841289233	93.2089851427508	4507.59308569161	79.0816219373928	1281.7938690859	4911.60489820394	1	160.690236764889	153.219516410617	422.305474321333	1	373.142285961696	482.249343099604	193.701054371088	1	191.205031505936	453.898437246431	3809.25681156859	492.37001175625	823.256706124471
TIMP2	173.632869916104	1	1	79.572093937824	1	1	115.271534440321	53.3297862969816	1	1	372.877449507555	1	92.1458698384143	600.913294190996	1	1	1	1	1	1	1	1	1	1	55.0466439399823	153.92152627385	107.678649743264	84.627224405755
TIMP3	1	1	1	1014.3177234401	1	1	1035.26133070454	435.809326952855	92.3933493409733	1	964.625425133007	1	1	1465.95330637183	1	1	92.5389953669849	465.233560905464	1	178.126031133121	1	1	1	1	551.373112885691	1718.40045955282	1045.68187886118	851.144700689174
TINAGL1	1	1	1	758.951819287051	1	1	292.334880227792	238.313853694416	1	1	1	1	1	1	1	77.9990307623114	1	63.0460775232858	1	1	1	1	1	1	384.988589724999	463.443238043781	246.47607075438	177.390401496662
TINF2	45.0058110387833	1	53.3936396128212	59.3335048891463	30.1413019815405	36.158283953941	64.5863208979749	47.031671725962	48.311128815396	1	1	1	41.4844875267538	41.2265605983821	1	29.8077995970474	31.1438294919321	34.0814548608186	81.8411803427844	44.3208035105135	55.34352978331	1	130.055719163798	40.219100524574	77.8174270534231	47.5845014836248	43.6789758460967	198.683918646647
TIPARP	51.7048407745344	102.536076399332	85.9528003673538	85.2015530160344	190.142833671054	66.9469251785675	50.6345520367953	1	1	1	1	140.600916784906	44.5754439205878	1	137.398178446838	63.3248079259274	1	1	1	60.71004693804	56.6988620565896	76.9351015689984	1	94.3273129671242	174.998476544277	62.0530483173189	1	1
TJP2	1	1	39.0618524787851	1	1	1	84.5865321817115	42.8515312637118	1	1	1	1	1	1	1	1	1	27.623937679425	1	1	1	1	1	1	1	1	57.4657594352259	1
TJP3	1	1	1	1	30.4151593946206	40.9312850701096	1	1	1	1	1	1	1	1	1	1	1	1	1	37.7120454669201	1	1	1	1	1	1	1	1
TK1	1	1	1	1	1	35.4688999672594	1	1	304.268133525425	1	1	1	1	1	1	1	36.1720171915351	107.986373763315	1	1	1	1	1	1	1	1	1	1
TKFC	1	1	28.871849287563	1	1	1	1	1	1	1	1	1	1	1	1	1	37.4823388376087	1	1	32.9254969128782	1	1	1	1	1	1	1	1
TLE4	1	1	1	1	1	1	1	1	1	1	1	168.445033120028	75.536417742339	54.3900474770098	1	49.4972663671487	1	1	1	1	1	134.149809616631	1	1	116.702821086784	109.962446776005	1	1
TLK1	1	84.3248839825968	54.0020027809661	1	44.9906680045534	42.3168855403546	58.9562211857719	52.9740359341427	46.9833276822259	1	1	1	1	1	1	25.3676022395748	40.9687749892171	51.7707693052301	98.7131691679925	64.3304056912549	1	1	105.242489206981	45.3892694530562	1	1	38.9172659403558	1
TLL1	1	1	1	1	1	1	1	119.806620827814	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TLN1	164.818283005224	1	48.196699513835	223.274209147604	1	25.8096436802134	99.4800590236897	85.4681368465607	46.384634888477	1	106.974616351829	123.956762263077	137.104440491637	113.927949697747	98.6441355369915	34.0071472284694	24.6056361928373	73.2305549221645	83.0376290271389	1	78.6441050610606	215.922297382687	1	44.9951118448409	89.8641087859011	204.656918479654	130.256554572263	58.1556197206854
TLR1	49.3328064449673	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TLR2	61.4402968654679	1	1	1	1	1	1	1	1	1	1	1	50.9386101518511	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TLR4	61.2931668388126	1	1	1	1	1	1	1	1	1	1	1	45.0753779149242	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TLR7	41.5651353434381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TM2D3	58.8423752970992	102.442317150677	75.7079983546315	86.1484075629336	43.0405891812449	49.8434210659894	78.4438017280029	61.4006227990325	54.1641432943569	1	92.9904397726717	1	1	65.2451671368824	91.8017149391221	45.8391859274218	42.7598973932117	51.0156371251433	1	47.3484861284777	39.1065304649259	1	1	49.567571602228	55.2852500445397	1	48.7276246365851	245.134054059377
TM4SF1	1	1	1924.26036797842	85.1001707192551	1026.87195286836	900.216668263373	3484.97424490369	1290.60107174273	636.212797914172	1	1	1	1	1	1	2119.07720599146	613.521665643863	593.139549858769	1	203.839441248389	1	1	1	923.468799155167	285.66421930842	366.563544956246	898.124598701761	1417.01043023639
TM4SF1.AS1	1	1	44.732139910676	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TM4SF18	1	1	158.314961462704	1	1	1	96.4068846885379	148.391853646623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	354.238824992799	210.958435202346
TM6SF1	50.6122670107019	1	1	1	1	1	82.0497955871245	1	1	1	1	1	44.7886095333659	1	1	1	1	1	1	1	1	1	1	1	1	1	1	87.2893000088869
TM7SF2	1	1	1	1	88.380690843777	100.224827752384	1	1	92.076665686936	1	1	1	1	1	1	32.9066381767917	152.711106178702	1	1	44.6091403999009	1	1	1	117.540049322412	1	1	1	1
TM7SF3	29.9713775026024	1	42.9535059651524	1	1	42.7451503947793	44.6123858327843	45.3722503286317	87.68816370256	1	1	1	1	1	1	1	55.8839000748718	97.9771192216766	1	1	1	1	1	1	93.3775815670287	1	1	66.7493051473769
TM9SF1	1	1	49.7783764547936	1	36.4347027444398	28.8622735182077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	122.334401517512
TMA16	1	1	1	1	1	1	1	1	33.0758752153232	1	1	1	1	1	1	1	34.8122965829452	36.2849709070062	1	37.4461492841438	1	1	1	1	1	1	1	1
TMBIM4	124.933238440405	1	86.0499638507686	79.2518548779696	89.3961410191378	101.017585294645	93.7106109447642	102.703562554761	1	1	110.730153614078	1	76.775417375618	107.089788754465	1	1	74.1298903831178	39.1197725860316	1	192.826284559853	1	1	80.6521624820965	35.5345434650476	1	51.4089184546191	96.3612649605312	1
TMC4	1	1	92.101794174231	1	77.3101148743472	60.8334451982956	1	1	1	1	1	1	1	1	1	59.5481035103485	42.154351429118	37.9416420603756	1	77.8051912722624	1	1	1	49.9976031173378	1	1	1	1
TMC5	1	1	153.183421332658	1	143.018422588078	110.181434863567	1	1	138.864005768193	1	1	1	1	1	1	1	98.5308774464504	1	1	92.9392811615116	1	1	1	232.841702230541	1	1	1	1
TMC6	57.5087195723774	108.272158233934	1	1	29.7981455241109	41.8242770534146	1	1	1	1	1	94.2658406935134	53.7677299536293	1	145.284165907529	1	22.8320124312907	31.6317696659781	100.088730929976	1	39.2418941221985	119.076979348483	114.39924743765	37.2689528958081	1	1	1	1
TMC8	1	88.2479209597869	1	1	1	1	1	1	1	1	1	1	1	1	93.7841896864844	1	1	1	89.0400022308377	1	1	1	1	1	1	1	1	1
TMCC3	1	1	1	1	1	1	1	77.0813980129237	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	65.3501618887665	1
TMCO3	1	1	52.9269040637238	1	79.1941607812165	98.6466127538984	58.4273619915202	1	41.2604198394501	1	1	1	1	73.2727273566715	1	1	32.8859815645278	37.3334396171865	1	53.7156551317862	1	1	1	81.368850878936	1	1	39.3744090794308	161.537967520124
TMED5	101.919373826557	83.788258659576	53.6841387779215	60.1267409735886	37.2030274378845	71.215120109138	67.9050587567358	43.6688368774204	53.7229712510588	61.8465905187186	1	111.420847192803	75.5722151731816	1	89.3587210962807	43.8525344027462	30.198631889832	41.9493787156243	1	52.844046051025	66.2049127679395	1	1	56.4810338151166	1	67.6219486665432	43.3447451101396	1
TMED7	1	1	42.7260583902302	1	33.8205477792832	35.2308243118241	107.3206092297	1	1	1	1	1	1	62.3564656842498	1	1	1	1	1	51.9485840734366	1	1	1	1	1	69.3336045937943	1	1
TMEM100	1	1	1	1	1	1	159.499738950357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TMEM106C	1	1	72.4203926848818	1	78.5438289265183	90.7452779598412	1	1	177.298270138485	1	65.3894162915838	1	1	44.9894191747118	1	50.9549795828126	88.5677792489784	93.7910991308474	1	114.49500226672	1	1	1	64.538515330505	156.265551596571	1	1	1
TMEM107	1	1	33.4385644750954	1	31.7676771196796	31.5876797956869	1	1	32.8681532465241	45.4257204011017	1	1	1	1	1	1	1	1	1	53.4887215970338	1	1	1	1	1	1	1	1
TMEM115	1	1	45.6134187863315	1	58.3378501010902	36.6833334928392	58.5320942781329	50.637722330366	27.1985020577974	1	56.1560403275175	1	1	67.2607371922317	1	38.2014665580861	30.2555247257852	42.206412031035	1	45.3120630315582	1	1	1	1	125.57202201827	1	1	1
TMEM116	1	1	47.723683045697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TMEM119	1	1	1	1	1	1	1	1	1	1	118.209564898909	1	1	180.341775550023	1	1	1	1	1	1	1	1	1	1	1	67.9820309562357	1	1
TMEM125	1	1	1	1	1	46.7629604315033	1	1	1	1	1	1	1	1	1	1	28.7133289714567	1	1	1	1	1	1	1	1	1	1	1
TMEM127	37.0138878008024	1	38.887689417651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52.9952625422201	1
TMEM128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.7905128385576	1	1	52.4451335547482	1	1	1	1	1	1	1	1
TMEM131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52.5794458504559	1	1	1	1	1	1	1
TMEM132A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38.5771003834835	1	1	43.1484724234279	1	1	1	48.5945797304004	1	1	1	1
TMEM135	1	1	1	1	1	28.9836169757336	1	1	1	1	1	1	1	1	1	1	1	1	1	49.607970412281	1	1	1	1	1	1	1	1
TMEM140	1	1	1	1	1	1	61.5468589434379	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TMEM150A	1	1	1	1	1	28.3585423157874	1	1	1	1	1	1	1	1	1	1	26.4343481231862	1	1	1	1	1	1	1	1	1	1	1
TMEM150C	1	1	56.9646269476866	1	1	1	1	48.4299793717932	1	1	1	1	1	1	1	1	1	1	1	173.084038086923	1	1	1	1	1	1	41.4780432908644	1
TMEM154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	120.583045789628	1	1	1	99.8923990729052	1	1	1	1	1
TMEM156	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99.3328819319204	1	1	1	1	1	1	1	1	1
TMEM161A	1	1	38.6457870772035	1	1	35.8020527375144	1	1	1	1	1	1	1	1	1	1	27.8517514019033	1	1	1	1	1	1	1	1	1	1	1
TMEM170A	1	1	1	1	1	1	54.8673256685071	75.99472216128	1	1	1	1	1	1	1	35.6307624688471	1	35.3520930575507	1	1	1	1	1	1	1	1	38.3989593983859	1
TMEM173	56.8760239208518	153.208333168899	1	92.6818189538116	1	1	210.377128765809	178.665654016621	1	1	140.385012213899	1	66.2288900153701	68.8626079240126	1	1	1	1	1	1	1	1	1	1	1	132.424376402178	195.684721171817	117.159483229053
TMEM175	1	1	44.7113308944546	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TMEM176A	647.62008618344	1	40.2126436629741	1	1	1	1	1	1	1	563.54923687726	1	289.184371319846	327.111457862073	1	69.6785354299527	1	1	1	1	131.778034380982	1	1	1	1	378.937438985726	51.6614458787934	1
TMEM176B	711.045868368878	1	1	1	1	1	1	1	1	1	681.869950655354	1	266.001718172618	433.955502820088	1	59.0646516872317	1	1	1	45.6577061543105	121.835208932047	1	1	1	1	371.97880548893	1	1
TMEM178A	1	1	1	1	1	1	136.283695285123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TMEM181	1	1	38.2590306160576	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49.3558984530524	1	1	1	1	1	1	1	1
TMEM184B	1	1	1	1	1	1	87.6479470104247	38.3575413641654	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	95.8230534101234	1
TMEM192	1	1	34.8232361781115	1	1	30.6388419258627	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TMEM199	1	1	1	1	1	29.2706708150973	1	1	1	1	1	1	1	1	1	1	22.8771854048117	1	1	51.4770501150376	1	1	1	1	1	1	1	1
TMEM2	49.1415740621758	206.324285658912	149.699035403604	1	1	1	128.177189823239	231.336944435801	1	1	1	285.312802445095	1	1	266.65672297645	40.4857337873036	1	1	184.839004953891	1	1	252.480375582439	277.497943835449	1	98.4780129733492	1	230.597370727812	172.599264754191
TMEM204	1	1	1	65.4194630136526	1	1	121.609126288646	118.442538447648	1	1	102.254794572899	1	1	119.583357675663	1	1	1	1	1	1	1	1	1	1	1	135.193682158888	374.85906424123	189.059570424137
TMEM208	78.4631814316459	1	116.921637523734	57.8874054699411	82.6235369517832	108.900721718147	103.339775311779	72.9743944513765	92.0718718521077	151.778990506744	84.7789757526901	1	74.9322486297505	148.408670418653	1	83.9114539250049	96.0235928411755	141.766581947573	1	79.1704175838831	53.239004359733	1	1	73.4917727139782	53.7097897546136	52.6763605901446	101.914152185343	245.783948220302
TMEM216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	75.9460578752742	1	1	1
TMEM218	1	1	35.9460373584632	1	30.7784678760743	31.478048912027	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TMEM220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36.3003783781854	1	1	1	1	1	1	1	1	1	1	1	1
TMEM234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	102.202549683148
TMEM237	1	1	1	1	1	1	1	1	46.0816699843059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	119.132649825688	1	1	1
TMEM241	1	1	77.2894006790296	1	36.0747549373347	29.5761431834875	1	1	36.9634077697739	1	1	1	1	1	1	1	31.5589721069418	1	1	38.0690552229411	1	1	1	1	1	1	1	1
TMEM242	1	1	31.350777347422	1	1	1	68.961079072357	1	1	1	1	1	1	1	1	55.9839912404392	1	28.2305086678957	1	1	1	1	1	1	1	1	61.6043317600892	1
TMEM243	55.6339857523459	157.291572402212	48.9656752090537	1	45.0039170349099	63.3837623368891	87.0772470527235	46.793643311191	54.507476034775	79.3377559229409	1	150.216902133524	44.5160852662785	58.8292757673711	126.739316891883	39.0421648369968	1	85.9224722274735	310.078330867029	52.9117646767511	78.0851643529152	1	432.555531286456	45.5352950564152	1	1	56.0460342073189	1
TMEM245	1	1	38.4592033417172	1	1	1	64.2904369703309	51.2938480029479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38.2387010886997	1
TMEM25	1	1	97.9636041641913	1	59.6574300272835	64.4342698790959	1	1	1	1	1	1	1	1	1	1	35.3902154598941	1	1	58.9644846170891	1	1	1	49.8199371983868	1	1	1	66.2121747696028
