NAME	T cells CD4+	Endothelial ACKR1	GenMod2	GenMod4	PVL Immature	GenMod3	T cells CD8+	PVL Differentiated	GenMod7	Monocyte	Macrophage	NKT cells	Plasmablasts	Myoepithelial	GenMod5	CAFs myCAF-like	B cells Memory	Endothelial CXCL12	DCs	GenMod6	B cells Naive	Mature Luminal	GenMod1	Endothelial RGS5	CAFs MSC iCAF-like	Luminal Progenitors	NK cells	Endothelial Lymphatic LYVE1
AKR1B1	1	55.6975966109606	1	51.724338726282	1	123.288933405827	1	1	1	74.986012936604	190.34080104372	106.945371995302	36.030385340483	94.0089376303659	1	56.7994433647801	1	94.8158388137489	48.251643011404	1	1	1	1	49.967377932542	114.83936596129	1	1	1
AKR1C1	1	1	1	1	1	66.2576002934066	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AKR1C3	1	88.5659969860666	1	1	1	74.5867618445272	1	1	1	1	1	1	1	1	1	1	1	59.3723011032829	1	1	1	1	1	70.3095463263941	1	1	1	34.9748786815245
AKR7A3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	78.9262801529768	1	1	1	1	34.238201528546	1	116.670722323768	45.4666513914589	1	1	1	1	1
AKT2	1	1	37.5806656207741	31.7110310564818	1	1	1	1	1	1	1	1	1	68.6415860684269	50.8813586824409	1	1	1	1	26.1592595230251	1	56.5538571712545	34.3850171280176	1	1	27.6741199840003	1	1
AKT3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.7404743672536	1	1	1	1
AKTIP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.6705791608961	1	28.3009714680139	1	1	1	1	1	1
ALAD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38.782150014282	1	1	1	1	1	1
ALAS1	1	1	1	1	1	1	1	1	1	1	39.7999490735207	1	1	1	1	1	1	1	1	1	1	62.1478724069081	1	1	1	1	1	1
ALCAM	1	1	56.7682272056072	78.777203803901	1	90.3932092633567	1	1	116.334222811594	59.7992913581645	101.243669579259	1	1	1	192.932973673867	1	1	1	55.0979332028192	139.877460275732	1	152.824458792768	126.379261585812	1	1	1	1	1
ALDH16A1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51.4984987070039	1	1	1	1	1	38.1395476126528	1	1	1	1
ALDH18A1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39.067815385856	1	1	1	1	1	1	1	1	1	1	1	1
ALDH1A1	1	1	1	1	1	1	1	1	1	1	57.7708816488926	1	1	1	1	76.1010450909809	1	1	1	1	1	1	1	1	197.292811731585	1	1	44.4577406231121
ALDH1A3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	109.761606248378	1	1
ALDH1B1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42.2066048669979	1	1	1	1	1	1	1	1	1	1	1	1
ALDH3A2	1	1	1	1	1	35.1739918878123	1	1	1	1	1	1	1	63.6494601314345	46.0818786355727	1	1	1	1	47.8019675035192	1	47.6464337196117	37.1754514355073	1	1	1	1	65.1947365837274
ALDH3B2	1	1	58.0485470140466	52.6943439005486	1	1	1	1	89.5709541359194	1	1	1	1	1	91.6885748169558	1	1	1	1	76.9218688714202	1	106.301280207094	48.874139373768	1	1	1	1	1
ALDH6A1	1	1	21.2940260089128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28.3716750133027	1	81.1866501775326	36.7619729720738	1	1	1	1	1
ALDH7A1	1	1	64.3151714279091	71.8196283182873	1	48.6422674796466	1	1	1	1	1	1	1	207.207072013142	1	1	1	1	1	1	1	55.2316114992513	1	1	1	40.8765766432643	1	1
ALG12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.1864803076789	1	1	1	1	1	1
ALG13	113.683517102231	43.469141625147	41.8595709465809	36.0758887628642	1	35.0487129845485	108.525765614706	1	54.0680724987254	62.5581562556841	45.1275862448054	1	1	1	41.5889567785719	1	174.444070880209	1	69.4599638512202	36.8401274623174	249.915245011216	55.0388065655815	34.7157438828925	89.7334897084345	1	40.2020562211077	84.3128332023721	1
ALG14	1	1	26.9829166459149	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31.4228741572569	1	29.5787600275774	1	1	1	1	1	1
ALG2	1	1	24.4744907747529	1	1	1	1	1	1	1	1	1	1	1	37.276640538128	1	1	1	44.3590349136731	1	1	36.7458996049737	1	1	1	31.653666397485	1	1
ALG3	1	38.5674072155857	103.170528323794	93.5538555985383	1	104.167606628492	1	1	63.7831757161111	43.4729210729355	44.3143673449464	1	44.3376714743553	1	44.4082705359844	40.7705655055648	1	1	1	77.7500167630014	1	37.2979072930239	44.6665492767968	1	1	38.1798696890072	1	40.3626729898133
ALG5	1	63.2899878468261	44.7188235468255	60.8578081020754	1	66.1461720242338	1	53.312204698382	43.8993431249129	36.335682602826	55.7663810478522	1	84.2095678995399	1	45.8740859222395	73.0093220263042	1	64.6897381158647	1	62.5220228703353	1	74.1447514229312	42.9775570139672	51.3472878147178	1	44.3493849500917	1	75.8837758795742
ALKBH2	1	1	37.561817724114	37.2549685449036	1	29.1990094201199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42.4650863088534	1	1
ALKBH3	1	1	23.6544079170042	43.3511339103432	1	21.9278204862206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALOX5	1	1	1	1	1	1	1	1	1	97.3549015247883	107.883156797629	1	1	1	1	1	67.3151238594607	1	58.1099255268818	1	1	39.7029690565113	1	1	1	1	1	1
ALOX5AP	307.752117191167	1	1	1	1	1	758.140603267972	1	1	387.146771927627	343.310371314623	574.213057403859	1	1	1	1	134.721149902429	1	647.760539154704	1	159.200190119663	1	1	1	1	1	481.593897969363	1
ALPL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	171.800603492168	1	1	1	1	1	1	1	1	1	1
AMDHD2	1	1	1	1	1	1	1	1	1	1	39.3813163980456	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AMFR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	204.241920508754	1	1	1	1	1	1	66.6433871958826	1	1	1	1	1	1
AMIGO2	1	1	1	1	1	1	1	1	1	1	1	1	1	123.468316496946	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AMOTL1	1	1	1	1	1	1	1	1	1	1	1	1	1	46.4446321395571	1	1	1	65.2518136972499	1	1	1	1	1	1	1	1	1	1
ANAPC10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.4378080488796	1	1	1	1	1	1	1	1	1	1
ANAPC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31.9559287226375	1	1	1	1	1	1
ANG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55.649863927588	1	1	1	1	1	1
ANGEL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.8155666597339	1	1	1	1	1
ANGPT1	1	1	1	1	111.503641352173	1	1	100.814302008069	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANGPT2	1	186.459573893381	1	1	287.960556083118	1	1	179.367930655624	1	1	1	1	1	1	1	1	1	207.444616067241	1	1	1	1	1	183.825003294218	1	1	1	278.996017302715
ANGPTL2	1	1	1	1	46.709026766823	1	1	1	1	1	1	1	1	1	1	135.910428786581	1	1	1	1	1	1	1	115.928764926507	125.845433106879	1	1	1
ANGPTL4	1	61.9439004248257	1	1	359.681670089485	1	1	252.585204354321	1	1	1	1	1	191.05415522228	1	103.630746737234	1	1	1	47.1438852397734	1	317.116782254624	60.1000043451639	131.78063559382	269.11656217386	159.431691136462	1	91.6129240917364
ANK2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.5684777113443	1	1	1	1	1	1	1	1	85.69012867617	1	1	1
ANK3	1	1	1	1	1	1	1	1	47.0241158402527	1	1	1	1	1	60.9256547049049	1	1	1	1	29.6085548147814	1	29.2566967144014	36.9099502666891	1	1	40.0714515229836	1	1
ANKDD1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43.580980780807
ANKH	1	1	1	1	1	1	1	1	1	1	55.3211856656855	1	1	43.7934748311743	1	120.615116357397	1	1	1	1	1	1	1	1	1	1	1	44.1571909562149
ANKIB1	1	1	1	31.3882557966765	1	32.9419779285979	1	1	46.9603854233587	1	1	1	1	1	1	1	1	1	1	27.3711307517318	1	35.6876989475459	1	1	1	1	1	1
ANKRA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.5275212598568	1	1	1	1	33.1662557962057	1	36.7506058794193	1	1	1	1	1	1
ANKRD11	1	113.428966715408	24.7970434111602	52.1417149009458	89.1954770492945	106.313345042614	1	1	86.3893978432971	61.0086657975479	62.9892296753079	123.501768546558	1	57.5759349911511	1	73.7901883972759	122.595596842811	72.4076575083433	174.779749087099	39.0279056745576	148.370566904148	53.0150424095752	1	149.254120294223	56.3033994900223	43.9932352097932	97.0524886420101	45.389512118565
ANKRD13A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	114.027700734609	1	1	1	1	1	1	1
ANKRD13D	1	1	1	1	1	1	1	1	42.307967797364	46.701164309058	40.326738986633	92.5946293177535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD22	1	1	1	1	1	1	1	1	1	66.5228108097402	70.7840256591167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD26	1	1	26.33799266263	1	1	25.0964718001897	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38.2599981654078	1	87.6078398292237	1	1	1	1
ANKRD28	1	116.859814146148	1	1	125.939379896789	1	178.930386241516	1	1	61.4033929186205	1	1	208.488249253996	1	179.094846721764	102.076327610974	1	149.330542168572	38.3276069887402	1	1	51.7805140856697	47.0819775416369	115.575117259993	90.2889333611345	1	134.252252534325	252.42397527421
ANKRD29	1	102.139669432867	1	1	1	1	1	68.2229426544602	1	1	1	1	1	1	1	1	1	83.8001019006472	1	1	1	1	1	111.83816012389	1	1	1	1
ANKRD30A	1	1	180.439757277857	1	1	1	1	1	474.08093702258	1	1	1	1	1	1183.19052637216	1	1	1	1	434.235703608133	1	858.723468535733	524.108998352036	1	1	1	1	1
ANKRD35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.8266953762237	1	1	1	1	1	1	1	1	63.5503116994276	1	1	1
ANKRD36C	1	1	1	1	1	1	1	1	88.5402614040773	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	66.3212298066989	1	1
ANKRD37	212.735070652773	63.6583442368747	45.3508484401152	82.2028953573338	85.1391471678431	1	306.438126014813	97.5236561744531	113.241350847465	80.9421810242763	105.212715520305	146.30255862264	199.623706318795	110.826772685862	1	54.8297298249848	338.181330301358	78.0343799256693	93.967753342978	98.7512505252003	125.996240156812	95.4532449656029	161.059939660214	55.4823223604683	1	101.347989606643	451.315063792939	1
ANKRD39	1	1	37.6116522697705	56.1969889773392	1	36.9200008944398	1	1	1	1	1	1	1	1	1	1	1	1	1	31.4002835957357	1	1	1	1	1	1	1	73.4362017928009
ANKRD44	125.428632337052	1	1	1	1	1	121.32109827915	1	1	60.2051812413404	41.2011149247737	132.848750039465	1	1	1	1	201.359849397012	1	92.4952097082865	1	183.084524967023	1	1	1	1	1	102.200541561748	1
ANKRD49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	151.70381680786	1	1	1	1	1	1	1
ANKRD50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	61.65721405005	1	1	1	1
ANKRD65	1	1	1	1	1	1	1	1	1	1	1	1	1	69.4420599878037	1	37.9379187241956	1	1	1	1	1	1	1	1	1	1	1	1
ANKZF1	1	1	1	1	1	1	1	1	40.0896859348529	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28.9262458432474	1	1
ANLN	1	1	1	36.5328114616238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANO1	1	1	1	1	129.176607943557	1	1	67.7021071274501	1	1	1	1	1	173.391062440433	1	56.9469279840023	1	1	1	1	1	31.8724181170814	1	1	1	1	1	1
ANP32E	84.2803508757206	1	37.1661654518187	188.858970489178	67.3571842698662	69.6433442697809	77.5028792810219	1	1	1	42.9935179863092	83.7184636865088	1	1	1	1	115.185112242925	44.8767676995765	63.5173419431752	40.0971681931218	1	1	1	36.949804944405	1	1	80.2039057659535	48.8159464271649
ANPEP	1	1	1	1	1	1	1	1	1	98.733135770032	1	1	1	1	185.88683452509	1	1	1	47.3588010165463	1	1	1	1	1	1	66.527225025758	1	1
ANTXR1	1	1	1	1	57.6037906928339	1	1	94.1955755545711	1	1	1	1	1	94.9711298572478	1	344.985653031559	1	1	1	1	1	1	1	1	91.387257265145	24.7097039028391	1	1
ANTXR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	83.4028283102342	1	1	67.1881197104605	1	1	1	1	1	84.8883309349601	1	1	1
ANXA1	1854.10266024125	560.786422086729	67.3714605294965	194.265161211688	309.689355034467	524.782391233034	2027.71245828595	345.053395040696	141.784075241086	560.381320378598	382.15422099687	1058.0069622491	1	1970.87988450501	1	563.481513301495	1	331.505968727813	390.414148255209	183.079311261397	1	92.8189442745584	1	288.038437809998	542.231297201551	1470.39543389602	1056.24749016925	335.633195670187
ANXA3	1	1	30.1842534917147	38.0383063269422	1	50.1318956854143	1	1	1	1	1	1	1	313.175670804849	1	1	1	189.933589918309	1	35.4977741077708	1	88.040599229304	1	1	1	78.1031745535124	1	1
ANXA8L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53.5497040965487	1	1
