NAME	GenMod2	PVL Differentiated	NK cells	T cells CD8+	PVL Immature	GenMod7	GenMod3	Plasmablasts	GenMod5	Macrophage	GenMod1	T cells CD4+	CAFs MSC iCAF-like	Myoepithelial	B cells Memory	CAFs myCAF-like	Endothelial CXCL12	GenMod6	Luminal Progenitors	Endothelial RGS5	Endothelial ACKR1	GenMod4	Endothelial Lymphatic LYVE1	Mature Luminal	DCs	Monocyte	B cells Naive	NKT cells
MRPL2	58.0013660749563	56.0993729125085	1	1	1	1	32.2600327606319	1	1	1	1	1	1	1	1	1	1	1	27.5658429950265	1	1	72.6994860939183	1	47.9823576770168	1	1	1	1
MRPL23	53.5300891156913	1	1	1	1	1	1	1	59.2154918598611	1	1	1	1	1	1	1	1	35.02084760936	1	1	1	1	1	1	1	1	1	1
MRPL35	27.5953460009107	1	1	1	1	1	53.6529318510706	1	1	1	1	1	1	1	1	1	1	26.3509114148974	1	1	1	43.6935338210373	1	1	1	1	1	1
MRPL44	39.7597432752527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46.3181863211572	1	1	1	1	1	1
MRPL46	46.1307331495776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	58.1745331054674	57.3940759349782	1	1	1	1	1
MRPL49	48.4487313430269	1	1	1	1	1	34.7286816647173	1	54.5468204532082	1	1	1	1	1	1	1	1	29.0797805953534	1	1	1	53.1000589248215	1	36.0286983585636	1	1	1	1
MRPS2	44.8136838626342	46.4205207875952	1	1	1	32.8148017211327	62.1138753862104	1	36.6432406006393	1	37.0667235370455	1	1	87.2571112663004	1	1	1	40.8294339502921	67.5058748503926	45.8187294553334	1	56.8578990827436	1	38.6315182157373	1	1	1	1
MRPS22	32.2450125845553	1	1	1	1	1	33.1168981935346	1	1	1	1	1	1	1	1	1	1	23.7370927356052	1	1	1	50.1646014948284	1	42.4577240233733	1	1	1	1
MRPS24	38.1929378646356	1	1	1	1	35.6983661856362	51.785650327388	1	1	1	54.8726901207714	1	1	1	1	1	1	47.8772339802904	72.4006967218329	1	1	32.048604921351	1	1	1	1	1	1
MRPS27	23.1550620183518	1	1	1	1	1	1	1	44.9592054542349	1	1	1	1	1	1	1	1	1	33.9208828426346	37.9202992541186	1	1	1	1	1	1	1	1
