NAME	CAFs MSC iCAF-like	Endothelial ACKR1	B cells Memory	T cells CD4+	Monocyte	GenMod5	T cells CD8+	Endothelial CXCL12	Plasmablasts	NK cells	GenMod4	DCs	CAFs myCAF-like	GenMod2	PVL Differentiated	Macrophage	GenMod1	Mature Luminal	Endothelial RGS5	Endothelial Lymphatic LYVE1	GenMod3	GenMod7	Luminal Progenitors	B cells Naive	PVL Immature	Myoepithelial	GenMod6	NKT cells
LPL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	88.7429295907182	1	1	1
LPXN	1	1	146.618916014618	122.806253656404	75.780314949277	1	141.50316078032	1	1	102.259857627963	1	96.2107706040944	1	1	1	88.2338921017373	1	1	1	1	1	1	1	1	1	1	1	1
LRBA	1	1	1	1	1	82.0040948462091	1	1	1	1	1	1	1	30.2386614844983	1	1	47.6960083335922	67.9574311084057	1	1	1	39.7708726494099	1	1	1	1	41.1314861634278	1
LRCH1	1	46.2152171776816	1	1	1	1	1	74.9760550300603	1	1	1	1	1	1	1	1	1	1	66.8921379209368	195.001129624532	1	1	1	1	1	1	1	1
LRG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.0610705016353	1	1	1	1	1	1	1	1	1	1
LRIF1	1	1	1	1	1	1	1	1	1	84.6688005417979	48.8379113311843	50.8774311719703	1	28.4255918642031	1	1	52.3859233845184	1	1	1	39.0968128909862	53.9485638525524	38.973239398284	1	1	43.3246073372579	37.7943027763212	1
LRIG1	1	1	1	1	1	122.254735120632	1	1	1	1	1	1	1	1	1	1	1	66.610790188831	1	1	1	1	30.8975472407957	1	1	1	1	1
LRMP	1	1	115.961352593417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRP1	566.038106058893	1	1	1	102.260056734442	1	1	1	1	1	1	1	429.893946585537	1	1	168.160115583863	1	1	1	1	45.9323022520336	1	1	1	105.808077258863	48.3543638089517	1	1
LRP2	1	1	1	1	1	85.887658950459	1	1	1	1	1	1	1	1	1	1	1	61.8942998032637	1	1	1	1	1	1	1	1	1	1
LRP5	1	63.3471012243121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRP6	1	1	1	1	1	1	1	78.2481873284309	1	1	1	1	1	1	1	1	1	1	1	84.1578400871013	1	1	1	1	1	1	1	1
LRPPRC	1	1	1	1	1	68.3914052305527	1	1	1	1	42.7517357796217	1	1	38.6811301194705	1	1	50.0272809457581	44.8258343535351	1	1	57.8893588319266	69.3159234670036	27.3433169932318	1	1	1	40.9693439108054	1
LRR1	1	1	1	1	1	1	1	1	1	1	33.7439886999571	62.6486906153081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRRC1	1	70.7779181277148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	105.302738090145	1	1	1	1	1	1	1	1
LRRC15	1	1	1	1	1	1	1	1	1	1	1	1	118.140096562973	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRRC17	79.6982452094563	1	1	1	1	1	1	1	1	1	1	1	119.979683042181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRRC25	1	1	1	1	89.2925721070717	1	1	1	1	1	1	1	1	1	1	89.2645772942852	1	1	1	1	1	1	1	1	1	1	1	1
LRRC26	1	1	1	1	1	294.493889591916	1	1	1	1	44.2210903933773	141.287232716663	1	91.2365060849947	1	1	150.998999881181	124.02189531267	1	1	1	101.979656191235	46.85843742548	1	1	1	173.035682988028	1
LRRC28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	71.4878223808422	1	1	1	1	1	1	1	1
LRRC32	1	85.3788659996907	1	1	1	1	1	51.7111775431967	1	1	1	1	74.0699589114042	1	95.5243519316897	1	1	1	1	1	1	1	1	1	70.3359417526201	1	1	1
LRRC42	1	1	1	1	1	1	1	1	1	1	46.8166748966838	1	1	40.4321884352149	1	1	30.9044133352396	1	1	1	56.2701344430461	1	1	1	1	1	35.1963653478937	1
LRRC45	1	1	1	1	1	1	1	1	1	1	43.4189067216829	1	1	25.6535003392896	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRRC47	1	1	1	1	1	1	1	1	1	1	58.6613968718465	1	1	41.1390168298787	1	1	1	32.5609995391921	1	1	28.0260011210464	1	24.3597051740753	1	1	62.9851687937796	28.9150840568834	1
LRRC70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51.8277302368221	1	1	1	1	1	1	1	1
LRRC8A	1	1	1	1	1	1	1	117.802113383978	1	1	1	1	32.7510727896698	1	1	1	1	35.2418844374882	113.546613283759	1	1	1	21.2081602904566	1	1	39.3044012441059	1	1
LRRC8C	1	40.2752479580045	1	1	1	1	1	61.4016533268487	1	1	1	1	1	1	1	1	1	1	37.321124967624	28.3886768277105	1	1	1	1	1	1	1	1
LRRCC1	1	1	1	1	1	41.3899799105589	1	1	1	1	40.3728862280309	1	1	1	1	1	1	1	1	1	37.712314678463	1	1	1	1	1	1	1
LRRK1	1	1	1	1	1	1	1	1	1	1	1	65.387157084001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRRK2	1	1	1	1	55.4349809224558	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LRRN4CL	60.5263589888908	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LSG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.003578118632	1	71.4878223808422	21.714705969926	1	1	1	1	1	1	1
LSM10	53.7283766673817	1	83.2640718263744	1	111.170683699963	1	1	1	63.5696224797012	1	88.9161319059692	75.3473277731087	69.2309653294675	74.1288507495469	1	100.931911104029	65.9750796200675	38.654373488481	41.5706763768088	66.846595155463	80.2137312785152	58.0490798054799	30.261347250109	245.012729333464	35.9073927556891	1	50.1519403426931	1
LSP1	350.59851719115	1	393.893403764712	458.392214605409	382.94469447513	1	581.0835291318	1	166.098362264684	696.960676820719	1	757.423182377394	245.287548309109	1	1	254.786293995161	1	1	1	116.641305481219	49.9599243978561	1	1	209.628029321175	1	1	1	415.723300176158
LST1	1	1	1	1	850.539191282555	1	1	1	1	1	1	267.740844906822	1	1	1	406.622245265109	1	1	1	1	1	1	1	1	1	1	1	1
LTA4H	1	38.6854416164883	71.9753744918013	1	121.198586394183	49.9302628794603	1	112.277529742589	1	1	32.9192398684433	52.7891181924908	1	46.6094215906316	1	111.563566940524	37.6944920960306	46.9299648461735	51.4845524658698	100.060568592383	42.9732978592377	1	69.4151615320271	114.570642767212	1	71.2072727974538	36.9113258322311	1
LTB	1	1	897.04533268655	1214.00195784286	1	1	297.215241665546	1	1	448.540002983111	1	571.381579750877	1	1	1	1	1	1	1	104.645056370168	1	1	1	848.619892351902	1	1	1	1
LTBP1	1	1	1	1	1	1	1	1	1	1	1	1	82.5576946463472	1	99.8077474108123	1	1	1	1	55.777353655421	47.2656801351855	1	1	1	1	1	1	1
LTBP2	121.185931380502	1	1	1	1	1	1	1	1	1	1	1	173.732526113146	1	1	1	1	1	1	1	1	1	1	1	1	178.0076960446	1	1
LTBP4	225.049072267922	1	1	1	1	1	1	339.303677591609	1	1	1	1	132.040451235819	1	1	1	1	1	1	98.3293444514969	1	39.5999046524567	1	1	1	50.6371907618738	28.4989371580704	1
LTC4S	1	75.4783498242753	1	1	50.3519383716124	1	1	120.634557221345	1	1	1	1	1	1	1	85.2585909186866	1	1	1	115.794168063265	1	1	1	1	1	1	1	1
LTF	1	1	1	1	1	599.616831752268	1	1	1	1	1	1	1	1	1	1	144.010592610155	182.448461255328	1	1	1	146.426728931797	1722.53425477153	1	1	1	374.395012622686	1
LTN1	1	1	1	1	1	1	1	70.5273206467832	1	1	1	1	1	1	1	1	1	28.7923449295254	39.7500778455796	34.2319812835192	1	35.0159452652068	1	1	1	1	1	1
