NAME	PVL Differentiated	T cells CD8+	GenMod4	Luminal Progenitors	GenMod3	GenMod1	Plasmablasts	B cells Memory	B cells Naive	NKT cells	T cells CD4+	GenMod7	GenMod5	PVL Immature	CAFs myCAF-like	CAFs MSC iCAF-like	NK cells	Macrophage	Monocyte	Endothelial ACKR1	Endothelial RGS5	GenMod6	DCs	GenMod2	Mature Luminal	Endothelial CXCL12	Myoepithelial	Endothelial Lymphatic LYVE1
MED19	1	1	65.2132463625174	49.3295386650877	33.7115082260783	50.8853869796995	1	1	107.737449790446	1	1	69.8257079124326	71.0239507035257	1	1	1	1	1	1	55.3906512508039	83.6697081490543	66.1346711112586	1	62.5055962886008	73.1198256946371	53.0999488841923	66.5938844885019	1
MED25	1	1	30.7619796478973	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23.7342019916757	1	36.5931540205307	29.0501101262431	1	1	1
MED27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41.666696922246	1
MED30	1	1	55.7630994940746	44.9781331018259	49.2656263606447	58.2347029073808	1	78.915213066184	149.189649786408	1	1	46.7754985795425	1	1	1	1	108.368172074675	1	1	50.2040673469042	59.2982818271291	42.4194658064845	47.8210588959081	37.0079331902032	54.3469630932723	77.2644177555919	55.7315792091483	1
MED4	109.901075617481	90.8950986910857	70.6299131921176	29.9714633720985	68.3571418833012	32.8012314513365	1	1	1	149.629112354368	1	42.9042600081816	44.9491353248193	76.4218478836292	61.5035682603361	79.8498094918813	1	1	45.8354175020702	62.481864767049	82.4406015691645	54.9586000781767	1	77.829152768378	45.6895440557595	135.625028100724	60.6753073961362	43.3943516100019
MEDAG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	87.4977041695263	1	1	1	1	1	1	1	1	1	1	1	1
MEF2A	1	1	1	1	25.2726238881144	1	1	120.900125388505	97.7499458754063	1	1	1	1	1	1	1	1	110.057440176991	95.7296210052561	104.285138480849	119.167206354698	1	81.5572317849122	1	1	160.103414438423	1	22.3174207396615
MEF2C	449.022534795474	1	1	1	1	1	104.744566013625	419.1744611979	426.231657522962	1	1	1	1	375.637322452525	1	1	1	129.70992998464	125.625367535457	219.528708099304	498.676892222313	1	203.27692735549	1	1	303.611077391757	1	198.948823168267
MEF2D	89.6253832496186	1	1	1	1	57.5330735066081	1	1	1	1	1	30.8551266540977	1	1	1	1	1	1	1	1	38.7880537301926	1	42.1441072106803	1	1	1	1	58.2944555161822
MEG3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	464.326044902136	614.493741847426	1	1	1	1	1	1	1	1	1	1	75.3385491728844	1
MEGF9	1	1	1	1	1	1	1	1	1	1	1	1	42.7376004768998	1	1	1	1	1	1	1	1	1	1	1	50.6248724799889	1	1	1
MEI1	1	1	1	1	1	1	93.8574881802052	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MEIS2	1	1	1	40.1650042530911	1	1	1	1	1	1	1	1	1	41.332118902006	82.353750773102	120.297722613715	1	1	1	1	1	1	1	1	1	1	1	1
MELK	1	1	32.5594347361452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MEOX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	116.606818095379	1	1	1	1	1	1	1	1
MEOX2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	104.367164112224	62.6455745706903	1	1	1	1	50.5896194207692	1	1
MERTK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	76.5286498187313	1	1	1	1	1	1	1	1	1	1
MESDC1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55.2938844361413	120.837001777696	1	1	1	1	61.4683259395757	1	79.387753431988
