NAME	Myoepithelial	GenMod1	PVL Differentiated	B cells Naive	T cells CD4+	T cells CD8+	Macrophage	Endothelial CXCL12	Endothelial ACKR1	GenMod4	NKT cells	GenMod2	Plasmablasts	GenMod5	GenMod3	Monocyte	B cells Memory	GenMod6	GenMod7	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Mature Luminal	NK cells	Luminal Progenitors	Endothelial RGS5	PVL Immature	Endothelial Lymphatic LYVE1
ACP2	1	1	1	1	1	1	109.273864801024	1	1	1	1	29.3843475001418	1	1	1	52.6500575256681	1	31.6020562311986	1	1	1	1	1	1	1	1	1	1
ACP5	1	38.1886991399204	1	1	1	101.861194290981	398.402355246758	1	1	1	1	1	1	47.1140112456103	1	108.477562092901	212.667425409496	41.2627633770724	1	108.456804557985	44.589242200261	1	47.7542551640994	1	1	1	1	1
ACSF2	1	34.106627527001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.0668240808122	1	1	1	1	45.4341373376815	1	1	1	1	1
ACSL1	1	1	1	1	1	1	91.6051057624407	1	1	1	1	42.2622566457619	1	1	1	140.293000026291	1	1	1	1	38.0115580400528	1	1	1	1	1	1	1
ACSL4	1	1	1	1	1	1	48.7387227159209	1	1	1	1	1	1	1	1	1	1	1	1	1	46.9525461536722	1	1	1	1	25.2670682534981	1	100.24169189339
ACSL5	1	1	1	1	1	1	1	1	39.7304852023804	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.6616896780738	1	1
ACTA2	5273.43537939614	1	8714.59132304751	1	1	1	1	69.6498343495936	1	1	1	1	1	1	232.869412219366	1	1	1	1	323.518521932261	1	1141.50779964104	1	1	1	200.30175665373	3165.40862321983	1
ACTG2	1311.19514641405	1	287.202767807626	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACTN1	857.605335397564	77.1564121079152	349.269747608173	1	1	1	74.4890564060939	111.837212737422	353.052929731199	91.2825156503989	1	68.9303582569354	1	93.5507799183929	168.281837193135	70.2210678226556	1	90.518704683844	83.9847352288852	159.419487686401	45.5909123062952	323.011709080833	190.604266489982	1	169.518898993758	80.0762683892278	270.141581960356	310.972608610058
ACTR3B	1	1	1	1	1	1	1	1	1	44.4698103879435	1	61.720986415114	1	1	55.0833265703979	1	1	1	1	1	1	1	1	1	63.1293298656175	1	1	1
ACTR6	1	36.2823891701611	1	1	1	1	1	1	1	66.8712255413595	1	70.6594067206372	1	49.9280340611714	1	1	1	36.9580622534155	45.6961367068984	1	1	1	36.235327058307	1	39.6694037184042	1	1	1
ACVR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.1935905194557	1	1	1	1	1	1
ACVRL1	1	1	1	1	1	1	1	192.546375035655	97.9485016822179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	152.084746034887	1	121.188433396016
ACYP1	1	1	70.5155482051718	1	1	1	1	1	1	66.1166448278122	1	28.4859151208448	1	1	1	1	1	1	1	1	1	1	1	1	25.3576934498392	1	1	1
ADA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	77.6790807308717	1	1	1	1	30.6850992923946	1	1
ADAM12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	114.244606110707	1	271.103053154543	1	1	1	1	1	1
ADAM15	63.2803238296328	149.124075069845	1	1	1	1	1	518.360474361661	399.372469082736	147.458580179229	1	159.541003558155	1	129.768638493639	114.233898508747	45.0978316769949	1	167.227524215643	184.027613704097	1	1	1	58.7970989716556	1	44.1918605077692	266.148732407514	1	222.080748808975
