NAME	T cells CD8+	CAFs myCAF-like	Macrophage	T cells CD4+	Mature Luminal	GenMod6	GenMod3	CAFs MSC iCAF-like	PVL Differentiated	Endothelial ACKR1	GenMod4	Plasmablasts	NKT cells	GenMod7	GenMod5	PVL Immature	NK cells	GenMod1	Monocyte	B cells Naive	Endothelial CXCL12	GenMod2	Endothelial RGS5	Myoepithelial	B cells Memory	DCs	Luminal Progenitors	Endothelial Lymphatic LYVE1
LAMA4	1	202.586495421706	1	1	1	1	52.177500309966	168.545208477082	156.884005815439	106.988060087312	1	1	1	1	1	284.699289474327	1	1	1	1	112.80910477523	1	329.631749352245	1	1	1	1	259.732041781285
LAMA5	1	1	1	1	36.1254606673608	1	1	1	124.649225792151	97.0959760866523	1	1	1	1	1	67.0774401446001	1	1	1	1	88.6729458773435	1	72.2799714152604	1	1	1	1	1
LAMB1	1	175.744381103175	1	1	1	1	1	208.76805863408	1	116.632498029716	1	1	1	1	1	117.391801213198	1	1	1	1	101.678530367525	1	199.581318486633	1	1	1	1	1
LAMB2	1	106.006128109521	1	1	52.2504292079715	41.7134617631312	1	111.996969258568	109.923979425097	117.472048058682	1	1	1	1	89.5982935045706	245.092554771742	1	1	1	1	153.938044988357	1	106.953845388282	42.0533727476138	1	1	35.9368853878233	53.1097453528137
LAMB3	1	1	1	1	1	1	85.1841919172191	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	178.643672630351	1	1	1	1
LAMC1	1	130.399995290089	1	1	1	1	44.1461428481081	110.332796234786	136.212762539077	109.081426489107	1	1	1	1	1	181.951802625299	1	1	1	1	152.659910344434	1	140.698095426798	1	1	1	1	80.5668687061902
LAMC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	115.010042004074	1	1	51.0875483498604	1
LAMP3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	119.858658891405	1	1
LAMP5	1	126.439779752322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	86.6866809184045	1	1
LAPTM4B	1	1	1	1	26.8502108457126	61.7365963557761	84.4044952642765	1	1	64.3304832200299	88.2418620112165	1	1	65.0094287922877	1	169.989536947852	1	1	1	1	78.8616733250583	66.8937174314856	76.1649857849296	1	1	1	44.4416276517691	67.3232205166361
LAPTM5	720.988690219957	1	1657.36803843976	757.927718546222	1	1	1	1	1	1	1	67.1669441408677	647.862320263012	1	1	1	316.327273128531	1	1163.58813754527	1733.11167192158	98.1307114778085	1	84.6516881503593	1	1393.1433986294	580.950639415992	1	1031.00889518069
LARP1B	1	1	1	1	39.5063406354555	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
